Record Length,10000,Points,-2.0000000E-6,-589.999973774E-3,,Record Length,10000,Points,-2.0000000E-6,-219.99998717E-6,,Record Length,10000,Points,-2.0000000E-6,-299.99998212E-3,,Record Length,10000,Points,-2.0000001E-3,-512.000024319E-3,
Sample Interval,400.00000370E-12,s,-1.9996000E-6,-629.999995232E-3,,Sample Interval,400.00000370E-12,s,-1.9996000E-6,-219.99998717E-6,,Sample Interval,400.00000370E-12,s,-1.9996000E-6,-319.99999285E-3,,Sample Interval,400.00000467E-9,s,-1.9996001E-3,-512.000024319E-3,
Trigger Point,5.00000016E3,Samples,-1.9992001E-6,-589.999973774E-3,,Trigger Point,5.00000016E3,Samples,-1.9992001E-6,-219.99998717E-6,,Trigger Point,5.00000016E3,Samples,-1.9992001E-6,-340.00000358E-3,,Trigger Point,5.00000042E3,Samples,-1.9992001E-3,-512.000024319E-3,
,,,-1.9987999E-6,-589.999973774E-3,,,,,-1.9987999E-6,-219.99998717E-6,,,,,-1.9987999E-6,-319.99999285E-3,,,,,-1.9988001E-3,-512.000024319E-3,
,,,-1.9984000E-6,-629.999995232E-3,,,,,-1.9984000E-6,-180.00000273E-6,,,,,-1.9984000E-6,-299.99998212E-3,,,,,-1.9984001E-3,-512.000024319E-3,
,,,-1.9980000E-6,-610.000014305E-3,,,,,-1.9980000E-6,-99.999997474E-6,,,,,-1.9980000E-6,-299.99998212E-3,,,,,-1.9980001E-3,-512.000024319E-3,
Source,CH1,,-1.9976001E-6,-610.000014305E-3,,Source,CH2,,-1.9976001E-6,-19.9999995E-6,,Source,MATH,,-1.9976001E-6,-319.99999285E-3,,Source,REF1,,-1.9976001E-3,-512.000024319E-3,
Vertical Units,V,,-1.9971999E-6,-589.999973774E-3,,Vertical Units,V,,-1.9971999E-6,19.9999995E-6,,Vertical Units,V,,-1.9971999E-6,-340.00000358E-3,,Vertical Units,V,,-1.9972001E-3,-512.000024319E-3,
Vertical Scale,499.999988824E-3,,-1.9967999E-6,-610.000014305E-3,,Vertical Scale,999.999974738E-6,,-1.9967999E-6,-19.9999995E-6,,Vertical Scale,499.999988824E-3,,-1.9967999E-6,-319.99999285E-3,,Vertical Scale,100.0000047E-3,,-1.9968001E-3,-512.000024319E-3,
Vertical Offset,0,,-1.9964000E-6,-629.999995232E-3,,Vertical Offset,0,,-1.9964000E-6,19.9999995E-6,,Vertical Offset,0,,-1.9964000E-6,-319.99999285E-3,,Vertical Offset,0,,-1.9964001E-3,-512.000024319E-3,
Horizontal Units,s,,-1.9960000E-6,-610.000014305E-3,,Horizontal Units,s,,-1.9960000E-6,19.9999995E-6,,Horizontal Units,s,,-1.9960000E-6,-319.99999285E-3,,Horizontal Units,s,,-1.9960001E-3,-512.000024319E-3,
Horizontal Scale,400.00000534E-9,,-1.9956001E-6,-589.999973774E-3,,Horizontal Scale,400.00000534E-9,,-1.9956001E-6,19.9999995E-6,,Horizontal Scale,400.00000534E-9,,-1.9956001E-6,-319.99999285E-3,,Horizontal Scale,400.00000467E-6,,-1.9956001E-3,-512.000024319E-3,
Pt Fmt,Y,,-1.9951999E-6,-610.000014305E-3,,Pt Fmt,Y,,-1.9951999E-6,59.999998484E-6,,Pt Fmt,Y,,-1.9951999E-6,-319.99999285E-3,,Pt Fmt,Y,,-1.9952001E-3,-512.000024319E-3,
Yzero,2.0200000,,-1.9948000E-6,-610.000014305E-3,,Yzero,-2.0200000,,-1.9948000E-6,19.9999995E-6,,Yzero,0.0,,-1.9948000E-6,-340.00000358E-3,,Yzero,0.0,,-1.9948001E-3,-512.000024319E-3,
Probe Atten,10.0000000,,-1.9944000E-6,-629.999995232E-3,,Probe Atten,1.000000,,-1.9944000E-6,19.9999995E-6,,,,,-1.9944000E-6,-319.99999285E-3,,,,,-1.9944001E-3,-512.000024319E-3,
,,,-1.9940001E-6,-610.000014305E-3,,,,,-1.9940001E-6,59.999998484E-6,,,,,-1.9940001E-6,-299.99998212E-3,,,,,-1.9940000E-3,-512.000024319E-3,
Note,TDS 3012B - 6:02:58 AM   9/15/2022,,-1.9936001E-6,-610.000014305E-3,,Note,TDS 3012B - 6:02:58 AM   9/15/2022,,-1.9936001E-6,-19.9999995E-6,,Note,TDS 3012B - 6:02:58 AM   9/15/2022,,-1.9936001E-6,-299.99998212E-3,,Note,TDS 3012B - 6:02:58 AM   9/15/2022,,-1.9936000E-3,-512.000024319E-3,
,,,-1.9931999E-6,-589.999973774E-3,,,,,-1.9931999E-6,-19.9999995E-6,,,,,-1.9931999E-6,-340.00000358E-3,,,,,-1.9932000E-3,-512.000024319E-3,
,,,-1.9928000E-6,-610.000014305E-3,,,,,-1.9928000E-6,-59.999998484E-6,,,,,-1.9928000E-6,-319.99999285E-3,,,,,-1.9928000E-3,-512.000024319E-3,
,,,-1.9924000E-6,-610.000014305E-3,,,,,-1.9924000E-6,-139.9999892E-6,,,,,-1.9924000E-6,-319.99999285E-3,,,,,-1.9924000E-3,-512.000024319E-3,
,,,-1.9920001E-6,-610.000014305E-3,,,,,-1.9920001E-6,-219.99998717E-6,,,,,-1.9920001E-6,-319.99999285E-3,,,,,-1.9920000E-3,-512.000024319E-3,
,,,-1.9915999E-6,-589.999973774E-3,,,,,-1.9915999E-6,-219.99998717E-6,,,,,-1.9915999E-6,-299.99998212E-3,,,,,-1.9916000E-3,-512.000024319E-3,
,,,-1.9912000E-6,-610.000014305E-3,,,,,-1.9912000E-6,-180.00000273E-6,,,,,-1.9912000E-6,-319.99999285E-3,,,,,-1.9912000E-3,-512.000024319E-3,
,,,-1.9908000E-6,-589.999973774E-3,,,,,-1.9908000E-6,-219.99998717E-6,,,,,-1.9908000E-6,-319.99999285E-3,,,,,-1.9908000E-3,-512.000024319E-3,
,,,-1.9904001E-6,-589.999973774E-3,,,,,-1.9904001E-6,-180.00000273E-6,,,,,-1.9904001E-6,-319.99999285E-3,,,,,-1.9904000E-3,-512.000024319E-3,
,,,-1.9900001E-6,-610.000014305E-3,,,,,-1.9900001E-6,-180.00000273E-6,,,,,-1.9900001E-6,-319.99999285E-3,,,,,-1.9900000E-3,-512.000024319E-3,
,,,-1.9895999E-6,-569.999992847E-3,,,,,-1.9895999E-6,-99.999997474E-6,,,,,-1.9895999E-6,-359.99998450E-3,,,,,-1.9896000E-3,-512.000024319E-3,
,,,-1.9892000E-6,-610.000014305E-3,,,,,-1.9892000E-6,-99.999997474E-6,,,,,-1.9892000E-6,-319.99999285E-3,,,,,-1.9892000E-3,-512.000024319E-3,
,,,-1.9888000E-6,-610.000014305E-3,,,,,-1.9888000E-6,-59.999998484E-6,,,,,-1.9888000E-6,-299.99998212E-3,,,,,-1.9888000E-3,-512.000024319E-3,
,,,-1.9884001E-6,-610.000014305E-3,,,,,-1.9884001E-6,-59.999998484E-6,,,,,-1.9884001E-6,-319.99999285E-3,,,,,-1.9884000E-3,-512.000024319E-3,
,,,-1.9879999E-6,-569.999992847E-3,,,,,-1.9879999E-6,-19.9999995E-6,,,,,-1.9879999E-6,-319.99999285E-3,,,,,-1.9880000E-3,-512.000024319E-3,
,,,-1.9875999E-6,-610.000014305E-3,,,,,-1.9875999E-6,-59.999998484E-6,,,,,-1.9875999E-6,-319.99999285E-3,,,,,-1.9876000E-3,-512.000024319E-3,
,,,-1.9872000E-6,-610.000014305E-3,,,,,-1.9872000E-6,-59.999998484E-6,,,,,-1.9872000E-6,-319.99999285E-3,,,,,-1.9872000E-3,-512.000024319E-3,
,,,-1.9868000E-6,-569.999992847E-3,,,,,-1.9868000E-6,-19.9999995E-6,,,,,-1.9868000E-6,-340.00000358E-3,,,,,-1.9868000E-3,-512.000024319E-3,
,,,-1.9864001E-6,-610.000014305E-3,,,,,-1.9864001E-6,-59.999998484E-6,,,,,-1.9864001E-6,-340.00000358E-3,,,,,-1.9864000E-3,-512.000024319E-3,
