Record Length,10000,Points,-99.599994719E-3,-10.7999993E-3,,Record Length,10000,Points,-99.599994719E-3,6.39999984E-3,,Record Length,10000,Points,-99.599994719E-3,79.999997979E-6,,Record Length,10000,Points,-2.0000001E-3,-512.000024319E-3,
Sample Interval,19.9999995E-6,s,-99.579997361E-3,-9.999999776E-3,,Sample Interval,19.9999995E-6,s,-99.579997361E-3,7.19999988E-3,,Sample Interval,19.9999995E-6,s,-99.579997361E-3,79.999997979E-6,,Sample Interval,400.00000467E-9,s,-1.9996001E-3,-512.000024319E-3,
Trigger Point,4.98000010E3,Samples,-99.559992552E-3,-1.9999999E-3,,Trigger Point,4.98000010E3,Samples,-99.559992552E-3,8.399999700E-3,,Trigger Point,4.98000010E3,Samples,-99.559992552E-3,0.0,,Trigger Point,5.00000042E3,Samples,-1.9992001E-3,-512.000024319E-3,
,,,-99.539995193E-3,1.1999999E-3,,,,,-99.539995193E-3,6.79999962E-3,,,,,-99.539995193E-3,-39.99999899E-6,,,,,-1.9988001E-3,-512.000024319E-3,
,,,-99.519997835E-3,11.5999999E-3,,,,,-99.519997835E-3,7.19999988E-3,,,,,-99.519997835E-3,-79.999997979E-6,,,,,-1.9984001E-3,-512.000024319E-3,
,,,-99.499993026E-3,1.1999999E-3,,,,,-99.499993026E-3,8.799999952E-3,,,,,-99.499993026E-3,-39.99999899E-6,,,,,-1.9980001E-3,-512.000024319E-3,
Source,CH1,,-99.479995668E-3,3.59999994E-3,,Source,CH2,,-99.479995668E-3,6.79999962E-3,,Source,MATH,,-99.479995668E-3,-39.99999899E-6,,Source,REF1,,-1.9976001E-3,-512.000024319E-3,
Vertical Units,V,,-99.459998310E-3,1.1999999E-3,,Vertical Units,V,,-99.459998310E-3,6.79999962E-3,,Vertical Units,VV,,-99.459998310E-3,-39.99999899E-6,,Vertical Units,V,,-1.9972001E-3,-512.000024319E-3,
Vertical Scale,19.9999995E-3,,-99.439993501E-3,-6.79999962E-3,,Vertical Scale,9.999999747E-3,,-99.439993501E-3,7.599999662E-3,,Vertical Scale,999.999974738E-6,,-99.439993501E-3,39.99999899E-6,,Vertical Scale,100.0000047E-3,,-1.9968001E-3,-512.000024319E-3,
Vertical Offset,0,,-99.419996142E-3,-6.79999962E-3,,Vertical Offset,0,,-99.419996142E-3,7.19999988E-3,,Vertical Offset,0,,-99.419996142E-3,39.99999899E-6,,Vertical Offset,0,,-1.9964001E-3,-512.000024319E-3,
Horizontal Units,s,,-99.399991333E-3,1.9999999E-3,,Horizontal Units,s,,-99.399991333E-3,8.399999700E-3,,Horizontal Units,s,,-99.399991333E-3,-39.99999899E-6,,Horizontal Units,s,,-1.9960001E-3,-512.000024319E-3,
Horizontal Scale,19.9999995E-3,,-99.379993975E-3,1.9999999E-3,,Horizontal Scale,19.9999995E-3,,-99.379993975E-3,4.79999976E-3,,Horizontal Scale,19.9999995E-3,,-99.379993975E-3,-39.99999899E-6,,Horizontal Scale,400.00000467E-6,,-1.9956001E-3,-512.000024319E-3,
Pt Fmt,Y,,-99.359996617E-3,10.7999993E-3,,Pt Fmt,Y,,-99.359996617E-3,8.799999952E-3,,Pt Fmt,Y,,-99.359996617E-3,-79.999997979E-6,,Pt Fmt,Y,,-1.9952001E-3,-512.000024319E-3,
Yzero,-220.00000000E-3,,-99.339991808E-3,-399.99998990E-6,,Yzero,-40.00000000E-3,,-99.339991808E-3,6.39999984E-3,,Yzero,0.0,,-99.339991808E-3,0.0,,Yzero,0.0,,-1.9948001E-3,-512.000024319E-3,
Probe Atten,10.0000000,,-99.319994450E-3,9.200000204E-3,,Probe Atten,10.0000000,,-99.319994450E-3,7.599999662E-3,,,,,-99.319994450E-3,-39.99999899E-6,,,,,-1.9944001E-3,-512.000024319E-3,
,,,-99.299997091E-3,1.1999999E-3,,,,,-99.299997091E-3,9.200000204E-3,,,,,-99.299997091E-3,-39.99999899E-6,,,,,-1.9940000E-3,-512.000024319E-3,
Note,TDS 3012B - 8:22:10 PM   9/15/2022,,-99.279992282E-3,-8.399999700E-3,,Note,TDS 3012B - 8:22:10 PM   9/15/2022,,-99.279992282E-3,7.599999662E-3,,Note,TDS 3012B - 8:22:10 PM   9/15/2022,,-99.279992282E-3,0.0,,Note,TDS 3012B - 8:22:10 PM   9/15/2022,,-1.9936000E-3,-512.000024319E-3,
,,,-99.259994924E-3,17.1999987E-3,,,,,-99.259994924E-3,7.19999988E-3,,,,,-99.259994924E-3,-119.9999970E-6,,,,,-1.9932000E-3,-512.000024319E-3,
,,,-99.239997566E-3,399.99998990E-6,,,,,-99.239997566E-3,9.599999525E-3,,,,,-99.239997566E-3,-39.99999899E-6,,,,,-1.9928000E-3,-512.000024319E-3,
,,,-99.219992757E-3,21.99999988E-3,,,,,-99.219992757E-3,9.200000204E-3,,,,,-99.219992757E-3,-119.9999970E-6,,,,,-1.9924000E-3,-512.000024319E-3,
,,,-99.199995399E-3,399.99998990E-6,,,,,-99.199995399E-3,8.399999700E-3,,,,,-99.199995399E-3,-39.99999899E-6,,,,,-1.9920000E-3,-512.000024319E-3,
,,,-99.179998040E-3,-1.9999999E-3,,,,,-99.179998040E-3,8.799999952E-3,,,,,-99.179998040E-3,0.0,,,,,-1.9916000E-3,-512.000024319E-3,
,,,-99.159993231E-3,-2.79999990E-3,,,,,-99.159993231E-3,8.799999952E-3,,,,,-99.159993231E-3,0.0,,,,,-1.9912000E-3,-512.000024319E-3,
,,,-99.139995873E-3,-399.99998990E-6,,,,,-99.139995873E-3,7.19999988E-3,,,,,-99.139995873E-3,0.0,,,,,-1.9908000E-3,-512.000024319E-3,
,,,-99.119991064E-3,-399.99998990E-6,,,,,-99.119991064E-3,9.200000204E-3,,,,,-99.119991064E-3,0.0,,,,,-1.9904000E-3,-512.000024319E-3,
,,,-99.099993706E-3,-12.3999994E-3,,,,,-99.099993706E-3,9.599999525E-3,,,,,-99.099993706E-3,39.99999899E-6,,,,,-1.9900000E-3,-512.000024319E-3,
,,,-99.079996347E-3,2.79999990E-3,,,,,-99.079996347E-3,9.999999776E-3,,,,,-99.079996347E-3,-39.99999899E-6,,,,,-1.9896000E-3,-512.000024319E-3,
,,,-99.059991539E-3,-7.599999662E-3,,,,,-99.059991539E-3,9.599999525E-3,,,,,-99.059991539E-3,39.99999899E-6,,,,,-1.9892000E-3,-512.000024319E-3,
,,,-99.039994180E-3,-5.20000001E-3,,,,,-99.039994180E-3,8.799999952E-3,,,,,-99.039994180E-3,0.0,,,,,-1.9888000E-3,-512.000024319E-3,
,,,-99.019996822E-3,6.79999962E-3,,,,,-99.019996822E-3,11.5999999E-3,,,,,-99.019996822E-3,-79.999997979E-6,,,,,-1.9884000E-3,-512.000024319E-3,
,,,-98.999992013E-3,-29.19999883E-3,,,,,-98.999992013E-3,10.4000000E-3,,,,,-98.999992013E-3,79.999997979E-6,,,,,-1.9880000E-3,-512.000024319E-3,
,,,-98.979994655E-3,-5.20000001E-3,,,,,-98.979994655E-3,10.4000000E-3,,,,,-98.979994655E-3,0.0,,,,,-1.9876000E-3,-512.000024319E-3,
,,,-98.959997296E-3,-399.99998990E-6,,,,,-98.959997296E-3,10.4000000E-3,,,,,-98.959997296E-3,0.0,,,,,-1.9872000E-3,-512.000024319E-3,
,,,-98.939992487E-3,-16.4000001E-3,,,,,-98.939992487E-3,11.5999999E-3,,,,,-98.939992487E-3,79.999997979E-6,,,,,-1.9868000E-3,-512.000024319E-3,
,,,-98.919995129E-3,-5.20000001E-3,,,,,-98.919995129E-3,9.999999776E-3,,,,,-98.919995129E-3,0.0,,,,,-1.9864000E-3,-512.000024319E-3,
,,,-98.899997771E-3,4.39999998E-3,,,,,-98.899997771E-3,12.3999994E-3,,,,,-98.899997771E-3,-39.99999899E-6,,,,,-1.9860000E-3,-512.000024319E-3,
,,,-98.879992962E-3,-399.99998990E-6,,,,,-98.879992962E-3,11.1999996E-3,,,,,-98.879992962E-3,0.0,,,,,-1.9856000E-3,-512.000024319E-3,
,,,-98.859995604E-3,-2.79999990E-3,,,,,-98.859995604E-3,11.1999996E-3,,,,,-98.859995604E-3,0.0,,,,,-1.9852000E-3,-512.000024319E-3,
,,,-98.839998245E-3,-2.79999990E-3,,,,,-98.839998245E-3,12.0000001E-3,,,,,-98.839998245E-3,0.0,,,,,-1.9848000E-3,-512.000024319E-3,
,,,-98.819993436E-3,-9.999999776E-3,,,,,-98.819993436E-3,14.3999998E-3,,,,,-98.819993436E-3,0.0,,,,,-1.9844002E-3,-512.000024319E-3,
,,,-98.799996078E-3,-1.1999999E-3,,,,,-98.799996078E-3,12.7999997E-3,,,,,-98.799996078E-3,0.0,,,,,-1.9840002E-3,-512.000024319E-3,
,,,-98.779991269E-3,-7.599999662E-3,,,,,-98.779991269E-3,13.9999995E-3,,,,,-98.779991269E-3,0.0,,,,,-1.9836002E-3,-512.000024319E-3,
,,,-98.759993911E-3,8.399999700E-3,,,,,-98.759993911E-3,13.5999992E-3,,,,,-98.759993911E-3,-79.999997979E-6,,,,,-1.9832002E-3,-512.000024319E-3,
,,,-98.739996552E-3,6.79999962E-3,,,,,-98.739996552E-3,12.3999994E-3,,,,,-98.739996552E-3,-39.99999899E-6,,,,,-1.9828002E-3,-512.000024319E-3,
,,,-98.719991744E-3,-399.99998990E-6,,,,,-98.719991744E-3,12.3999994E-3,,,,,-98.719991744E-3,0.0,,,,,-1.9824002E-3,-512.000024319E-3,
,,,-98.699994385E-3,6.00000005E-3,,,,,-98.699994385E-3,13.1999999E-3,,,,,-98.699994385E-3,-39.99999899E-6,,,,,-1.9820002E-3,-512.000024319E-3,
,,,-98.679997027E-3,-1.1999999E-3,,,,,-98.679997027E-3,13.9999995E-3,,,,,-98.679997027E-3,0.0,,,,,-1.9816002E-3,-512.000024319E-3,
,,,-98.659992218E-3,-2.79999990E-3,,,,,-98.659992218E-3,12.7999997E-3,,,,,-98.659992218E-3,0.0,,,,,-1.9812002E-3,-512.000024319E-3,
,,,-98.639994860E-3,-25.99999867E-3,,,,,-98.639994860E-3,13.1999999E-3,,,,,-98.639994860E-3,39.99999899E-6,,,,,-1.9808002E-3,-512.000024319E-3,
,,,-98.619997501E-3,-1.1999999E-3,,,,,-98.619997501E-3,12.3999994E-3,,,,,-98.619997501E-3,0.0,,,,,-1.9804002E-3,-512.000024319E-3,
,,,-98.599992692E-3,13.9999995E-3,,,,,-98.599992692E-3,11.5999999E-3,,,,,-98.599992692E-3,-39.99999899E-6,,,,,-1.9800002E-3,-512.000024319E-3,
,,,-98.579995334E-3,7.599999662E-3,,,,,-98.579995334E-3,12.3999994E-3,,,,,-98.579995334E-3,-39.99999899E-6,,,,,-1.9796002E-3,-512.000024319E-3,
,,,-98.559997976E-3,2.79999990E-3,,,,,-98.559997976E-3,14.3999998E-3,,,,,-98.559997976E-3,-39.99999899E-6,,,,,-1.9792002E-3,-512.000024319E-3,
,,,-98.539993167E-3,-399.99998990E-6,,,,,-98.539993167E-3,10.7999993E-3,,,,,-98.539993167E-3,0.0,,,,,-1.9788002E-3,-512.000024319E-3,
,,,-98.519995809E-3,1.1999999E-3,,,,,-98.519995809E-3,12.0000001E-3,,,,,-98.519995809E-3,-39.99999899E-6,,,,,-1.9784002E-3,-512.000024319E-3,
,,,-98.499998450E-3,1.1999999E-3,,,,,-98.499998450E-3,8.799999952E-3,,,,,-98.499998450E-3,-39.99999899E-6,,,,,-1.9780002E-3,-512.000024319E-3,
,,,-98.479993641E-3,-9.999999776E-3,,,,,-98.479993641E-3,8.799999952E-3,,,,,-98.479993641E-3,39.99999899E-6,,,,,-1.9776002E-3,-512.000024319E-3,
