Record Length,10000,Points,-1.000000E-6,-269.99998093E-3,,Record Length,10000,Points,-1.000000E-6,-59.999998484E-6,,Record Length,10000,Points,-1.000000E-6,-340.00000358E-3,,Record Length,10000,Points,-2.0000001E-3,-512.000024319E-3,
Sample Interval,200.00000185E-12,s,-999.800022328E-9,-250.00000000E-3,,Sample Interval,200.00000185E-12,s,-999.800022328E-9,19.9999995E-6,,Sample Interval,200.00000185E-12,s,-999.800022328E-9,-379.99999523E-3,,Sample Interval,400.00000467E-9,s,-1.9996001E-3,-512.000024319E-3,
Trigger Point,5.00000016E3,Samples,-999.600047180E-9,-229.99998927E-3,,Trigger Point,5.00000016E3,Samples,-999.600047180E-9,-59.999998484E-6,,Trigger Point,5.00000016E3,Samples,-999.600047180E-9,-340.00000358E-3,,Trigger Point,5.00000042E3,Samples,-1.9992001E-3,-512.000024319E-3,
,,,-999.399958346E-9,-269.99998093E-3,,,,,-999.399958346E-9,-99.999997474E-6,,,,,-999.399958346E-9,-340.00000358E-3,,,,,-1.9988001E-3,-512.000024319E-3,
,,,-999.199983198E-9,-269.99998093E-3,,,,,-999.199983198E-9,-139.9999892E-6,,,,,-999.199983198E-9,-340.00000358E-3,,,,,-1.9984001E-3,-512.000024319E-3,
,,,-999.000008051E-9,-250.00000000E-3,,,,,-999.000008051E-9,-139.9999892E-6,,,,,-999.000008051E-9,-340.00000358E-3,,,,,-1.9980001E-3,-512.000024319E-3,
Source,CH1,,-998.800032903E-9,-269.99998093E-3,,Source,CH2,,-998.800032903E-9,-139.9999892E-6,,Source,MATH,,-998.800032903E-9,-359.99998450E-3,,Source,REF1,,-1.9976001E-3,-512.000024319E-3,
Vertical Units,V,,-998.599944069E-9,-250.00000000E-3,,Vertical Units,V,,-998.599944069E-9,-99.999997474E-6,,Vertical Units,V,,-998.599944069E-9,-359.99998450E-3,,Vertical Units,V,,-1.9972001E-3,-512.000024319E-3,
Vertical Scale,499.999988824E-3,,-998.399968921E-9,-250.00000000E-3,,Vertical Scale,999.999974738E-6,,-998.399968921E-9,-139.9999892E-6,,Vertical Scale,499.999988824E-3,,-998.399968921E-9,-359.99998450E-3,,Vertical Scale,100.0000047E-3,,-1.9968001E-3,-512.000024319E-3,
Vertical Offset,0,,-998.199993774E-9,-250.00000000E-3,,Vertical Offset,0,,-998.199993774E-9,-139.9999892E-6,,Vertical Offset,0,,-998.199993774E-9,-340.00000358E-3,,Vertical Offset,0,,-1.9964001E-3,-512.000024319E-3,
Horizontal Units,s,,-998.000018626E-9,-250.00000000E-3,,Horizontal Units,s,,-998.000018626E-9,-139.9999892E-6,,Horizontal Units,s,,-998.000018626E-9,-359.99998450E-3,,Horizontal Units,s,,-1.9960001E-3,-512.000024319E-3,
Horizontal Scale,200.00000267E-9,,-997.800043478E-9,-250.00000000E-3,,Horizontal Scale,200.00000267E-9,,-997.800043478E-9,-139.9999892E-6,,Horizontal Scale,200.00000267E-9,,-997.800043478E-9,-340.00000358E-3,,Horizontal Scale,400.00000467E-6,,-1.9956001E-3,-512.000024319E-3,
Pt Fmt,Y,,-997.599954644E-9,-250.00000000E-3,,Pt Fmt,Y,,-997.599954644E-9,-99.999997474E-6,,Pt Fmt,Y,,-997.599954644E-9,-340.00000358E-3,,Pt Fmt,Y,,-1.9952001E-3,-512.000024319E-3,
Yzero,2.0200000,,-997.399979497E-9,-250.00000000E-3,,Yzero,-2.0200000,,-997.399979497E-9,-99.999997474E-6,,Yzero,0.0,,-997.399979497E-9,-340.00000358E-3,,Yzero,0.0,,-1.9948001E-3,-512.000024319E-3,
Probe Atten,10.0000000,,-997.200004349E-9,-269.99998093E-3,,Probe Atten,1.000000,,-997.200004349E-9,-139.9999892E-6,,,,,-997.200004349E-9,-340.00000358E-3,,,,,-1.9944001E-3,-512.000024319E-3,
,,,-997.000029201E-9,-250.00000000E-3,,,,,-997.000029201E-9,-180.00000273E-6,,,,,-997.000029201E-9,-359.99998450E-3,,,,,-1.9940000E-3,-512.000024319E-3,
